Sample Characteristics
Name; WBCH
SID
Position; 85.10
Sample type;  Control
Test information
Test name; AA ser
Channel; 985
Test release; 0.01
Run date; 08/04/2020
Step A
Delta Absorbance; -0.31223
First reading; 8
Last reading; 50
Calculation mode; 1
r2
Result information
Rate; 0.19368
Result value; 0.27
Result unit; g/L
Flags list
Quality flags list
Cycle; (OD1 - OD2) * VF; OD1; OD2; VF
T0; 1.398588; 1.63192; -0.02307636; 0.84507
T1; 1.440073; 1.656222; -0.0199287; 0.859155
T2; 1.437998; 1.654274; -0.01946103; 0.859155
T3; 1.437302; 1.653109; -0.01981586; 0.859155
T4; 1.436511; 1.652722; -0.01928351; 0.859155
T5; 1.435423; 1.651947; -0.01879091; 0.859155
T6; 1.435196; 1.651175; -0.01929965; 0.859155
T7; 1.434038; 1.649633; -0.0194933; 0.859155
T8; 1.410207; 1.392484; -0.01772303; 1
T9; 1.347904; 1.331259; -0.0166444; 1
T10; 1.295351; 1.277936; -0.01741512; 1
T11; 1.25417; 1.236796; -0.01737459; 1
T12; 1.22419; 1.205674; -0.0185161; 1
T13; 1.200088; 1.182762; -0.01732595; 1
T14; 1.182344; 1.164508; -0.01783641; 1
T15; 1.168031; 1.150389; -0.01764202; 1
T16; 1.157379; 1.139202; -0.01817639; 1
T17; 1.148456; 1.130036; -0.01841907; 1
T18; 1.141064; 1.123001; -0.01806309; 1
T19; 1.134902; 1.117544; -0.01735838; 1
T20; 1.130082; 1.112043; -0.01803881; 1
T21; 1.126521; 1.108377; -0.01814402; 1
T22; 1.123184; 1.104522; -0.01866161; 1
T23; 1.120277; 1.102335; -0.01794167; 1
T24; 1.11743; 1.099941; -0.01748807; 1
T25; 1.116221; 1.098101; -0.01811974; 1
T26; 1.114453; 1.096268; -0.01818448; 1
T27; 1.112966; 1.093908; -0.01905747; 1
T28; 1.111414; 1.09348; -0.01793358; 1
T29; 1.11035; 1.092093; -0.0182573; 1
T30; 1.109559; 1.09156; -0.01799834; 1
T31; 1.10836; 1.089755; -0.01860503; 1
T32; 1.107602; 1.088908; -0.01869394; 1
T33; 1.106743; 1.088591; -0.01815211; 1
T34; 1.106209; 1.088591; -0.01761772; 1
T35; 1.105501; 1.087219; -0.01828157; 1
T36; 1.104877; 1.086272; -0.01860503; 1
T37; 1.10428; 1.085012; -0.01926737; 1
T38; 1.103099; 1.085117; -0.01798215; 1
T39; 1.103052; 1.084803; -0.01824921; 1
T40; 1.102472; 1.084279; -0.01819257; 1
T41; 1.101831; 1.083234; -0.01859694; 1
T42; 1.101681; 1.082608; -0.01907362; 1
T43; 1.101033; 1.082816; -0.01821684; 1
T44; 1.099919; 1.082504; -0.01741512; 1
T45; 1.099697; 1.081359; -0.01833819; 1
T46; 1.099664; 1.081359; -0.01830583; 1
T47; 1.099159; 1.080424; -0.01873434; 1
T48; 1.098612; 1.080735; -0.0178769; 1
T49; 1.097317; 1.079181; -0.01813593; 1
T50; 1.097982; 1.079595; -0.01838672; 1

Sample Characteristics
Name; WBCS
SID
Position; 85.08
Sample type;  Control
Test information
Test name; AA ser
Channel; 985
Test release; 0.01
Run date; 08/04/2020
Step A
Delta Absorbance; -0.49035
First reading; 8
Last reading; 50
Calculation mode; 1
r2
Result information
Rate; 0.37180
Result value; 0.52
Result unit; g/L
Flags list
Quality flags list
Cycle; (OD1 - OD2) * VF; OD1; OD2; VF
T0; 1.401546; 1.646185; -0.01231109; 0.84507
T1; 1.490123; 1.819234; 0.08482863; 0.859155
T2; 1.48172; 1.819803; 0.09517749; 0.859155
T3; 1.479366; 1.819803; 0.09791733; 0.859155
T4; 1.474969; 1.813586; 0.09681932; 0.859155
T5; 1.476612; 1.815836; 0.09715687; 0.859155
T6; 1.475306; 1.814148; 0.09698807; 0.859155
T7; 1.470107; 1.80912; 0.09801248; 0.859155
T8; 1.453937; 1.506428; 0.05249085; 1
T9; 1.37917; 1.429789; 0.05061919; 1
T10; 1.30908; 1.361685; 0.05260511; 1
T11; 1.251023; 1.303866; 0.05284327; 1
T12; 1.205279; 1.25797; 0.05269084; 1
T13; 1.169258; 1.220598; 0.05134029; 1
T14; 1.141038; 1.192587; 0.05154926; 1
T15; 1.116905; 1.167667; 0.05076142; 1
T16; 1.097435; 1.149659; 0.05222433; 1
T17; 1.08059; 1.132719; 0.05212919; 1
T18; 1.066645; 1.118109; 0.05146376; 1
T19; 1.054765; 1.10584; 0.05107448; 1
T20; 1.044315; 1.095731; 0.05141627; 1
T21; 1.034885; 1.086377; 0.05149226; 1
T22; 1.02761; 1.079492; 0.05188191; 1
T23; 1.020687; 1.071391; 0.05070452; 1
T24; 1.014644; 1.065538; 0.0508942; 1
T25; 1.009627; 1.059962; 0.05033487; 1
T26; 1.00496; 1.056414; 0.05145426; 1
T27; 1.001106; 1.052798; 0.05169179; 1
T28; 0.9974205; 1.048343; 0.05092267; 1
T29; 0.9935467; 1.044602; 0.05105551; 1
T30; 0.9908234; 1.041272; 0.05044858; 1
T31; 0.9884148; 1.040325; 0.05191043; 1
T32; 0.9860091; 1.037122; 0.05111245; 1
T33; 0.9837727; 1.034781; 0.05100806; 1
T34; 0.981703; 1.031896; 0.05019278; 1
T35; 0.9800012; 1.030507; 0.05050544; 1
T36; 0.9785232; 1.029398; 0.05087524; 1
T37; 0.9769564; 1.028477; 0.05152076; 1
T38; 0.9757025; 1.025999; 0.05029698; 1
T39; 0.9738472; 1.024903; 0.05105551; 1
T40; 0.973352; 1.023081; 0.04972895; 1
T41; 0.9714706; 1.023172; 0.0517013; 1
T42; 0.9704977; 1.021629; 0.05113143; 1
T43; 0.9698377; 1.020182; 0.05034435; 1
T44; 0.9689025; 1.01919; 0.0502875; 1
T45; 0.9678088; 1.018021; 0.05021172; 1
T46; 0.9667925; 1.017213; 0.05042015; 1
T47; 0.9662581; 1.016944; 0.05068556; 1
T48; 0.9651192; 1.015066; 0.04994661; 1
T49; 0.9645234; 1.014442; 0.04991821; 1
T50; 0.9635879; 1.013374; 0.04978572; 1

Sample Characteristics
Name; WBCH
SID
Position; 85.10
Sample type;  Control
Test information
Test name; RS ser
Channel; 987
Test release; 0.01
Run date; 08/04/2020
Step A
Delta Absorbance; 0.74425
First reading; 1
Last reading; 24
Calculation mode; 1
r2
Result information
Rate; 0.75235
Result value; 5.11
Result unit; g/L
Flags list
Quality flags list
Cycle; (OD1 - OD2) * VF; OD1; OD2; VF
T0; 0.06629539; 0.06798086; 0; 0.975207
T1; 0.0894903; 0.0894903; 0; 1
T2; 0.1769454; 0.1769454; 0; 1
T3; 0.2657034; 0.2657034; 0; 1
T4; 0.3395432; 0.3395432; 0; 1
T5; 0.4027762; 0.4027762; 0; 1
T6; 0.458793; 0.458793; 0; 1
T7; 0.5077295; 0.5077295; 0; 1
T8; 0.5502223; 0.5502223; 0; 1
T9; 0.5897221; 0.5897221; 0; 1
T10; 0.6245233; 0.6245233; 0; 1
T11; 0.655871; 0.655871; 0; 1
T12; 0.6839179; 0.6839179; 0; 1
T13; 0.7062973; 0.7062973; 0; 1
T14; 0.7286452; 0.7286452; 0; 1
T15; 0.7460626; 0.7460626; 0; 1
T16; 0.7629576; 0.7629576; 0; 1
T17; 0.7775828; 0.7775828; 0; 1
T18; 0.7889372; 0.7889372; 0; 1
T19; 0.7989658; 0.7989658; 0; 1
T20; 0.8085099; 0.8085099; 0; 1
T21; 0.8161185; 0.8161185; 0; 1
T22; 0.8230018; 0.8230018; 0; 1
T23; 0.8283094; 0.8283094; 0; 1
T24; 0.8337414; 0.8337414; 0; 1

Sample Characteristics
Name; WBCS
SID
Position; 85.08
Sample type;  Control
Test information
Test name; RS ser
Channel; 987
Test release; 0.01
Run date; 08/04/2020
Step A
Delta Absorbance; 0.77567
First reading; 1
Last reading; 24
Calculation mode; 1
r2
Result information
Rate; 0.78377
Result value; 5.45
Result unit; g/L
Flags list; CONF_RANGE_HIGH;
Quality flags list
Cycle; (OD1 - OD2) * VF; OD1; OD2; VF
T0; 0.06741744; 0.06913145; 0; 0.975207
T1; 0.148796; 0.148796; 0; 1
T2; 0.2615912; 0.2615912; 0; 1
T3; 0.3738048; 0.3738048; 0; 1
T4; 0.4610547; 0.4610547; 0; 1
T5; 0.5313324; 0.5313324; 0; 1
T6; 0.5852216; 0.5852216; 0; 1
T7; 0.6319937; 0.6319937; 0; 1
T8; 0.6740406; 0.6740406; 0; 1
T9; 0.7094644; 0.7094644; 0; 1
T10; 0.7402421; 0.7402421; 0; 1
T11; 0.7682329; 0.7682329; 0; 1
T12; 0.7917027; 0.7917027; 0; 1
T13; 0.8132496; 0.8132496; 0; 1
T14; 0.8320403; 0.8320403; 0; 1
T15; 0.8477782; 0.8477782; 0; 1
T16; 0.8623466; 0.8623466; 0; 1
T17; 0.8754752; 0.8754752; 0; 1
T18; 0.8848279; 0.8848279; 0; 1
T19; 0.8953336; 0.8953336; 0; 1
T20; 0.902229; 0.902229; 0; 1
T21; 0.910847; 0.910847; 0; 1
T22; 0.9156467; 0.9156467; 0; 1
T23; 0.9200696; 0.9200696; 0; 1
